,pm2.5,pm10,o3,no2,so2,co
2024-03-06,136.0,82.0,6.0,11.0,2.0,8.0
2024-03-05,124.0,109.0,10.0,12.0,2.0,10.0
2024-03-04,125.0,104.0,10.0,11.0,3.0,10.0
2024-03-03,102.0,125.0,10.0,9.0,2.0,10.0
2024-03-02,181.0,87.0,6.0,8.0,1.0,9.0
2024-02-29,145.0,119.0,10.0,14.0,4.0,12.0
2024-02-28,149.0,111.0,14.0,12.0,4.0,10.0
2024-02-27,161.0,133.0,13.0,14.0,4.0,10.0
2024-02-26,155.0,142.0,16.0,18.0,4.0,12.0
2024-02-25,159.0,126.0,18.0,17.0,4.0,9.0
2024-02-24,138.0,148.0,18.0,18.0,4.0,11.0
2024-02-23,142.0,118.0,15.0,16.0,4.0,10.0
2024-02-22,187.0,125.0,13.0,16.0,4.0,10.0
2024-02-21,200.0,174.0,11.0,13.0,3.0,11.0
2024-02-20,179.0,172.0,11.0,18.0,3.0,11.0
2024-02-19,188.0,227.0,17.0,23.0,3.0,10.0
2024-02-18,211.0,255.0,10.0,29.0,4.0,19.0
2024-02-17,203.0,235.0,16.0,29.0,5.0,17.0
2024-02-16,218.0,210.0,17.0,23.0,5.0,13.0
2024-02-15,263.0,222.0,20.0,27.0,4.0,9.0
2024-02-14,316.0,248.0,19.0,47.0,4.0,7.0
2024-02-13,238.0,385.0,14.0,67.0,5.0,12.0
2024-02-12,254.0,223.0,16.0,71.0,4.0,7.0
2024-02-11,284.0,231.0,10.0,75.0,4.0,9.0
2024-02-10,175.0,352.0,20.0,72.0,4.0,10.0
2024-02-09,160.0,258.0,9.0,59.0,4.0,25.0
2024-02-08,163.0,121.0,15.0,19.0,1.0,5.0
2024-02-07,161.0,146.0,6.0,15.0,2.0,5.0
2024-02-06,177.0,143.0,12.0,13.0,6.0,6.0
2024-02-05,223.0,121.0,3.0,10.0,2.0,6.0
2024-02-04,198.0,189.0,2.0,15.0,5.0,6.0
2024-02-03,196.0,224.0,4.0,17.0,7.0,13.0
2024-02-02,169.0,133.0,3.0,12.0,4.0,6.0
2024-01-30,338.0,280.0,2.0,18.0,4.0,8.0
2024-01-29,386.0,402.0,8.0,25.0,7.0,5.0
2024-01-28,258.0,480.0,5.0,27.0,7.0,7.0
2024-01-27,360.0,282.0,10.0,21.0,6.0,8.0
2024-01-26,270.0,357.0,15.0,22.0,5.0,18.0
2024-01-25,328.0,256.0,5.0,19.0,4.0,6.0
2024-01-24,341.0,322.0,6.0,19.0,5.0,6.0
2024-01-23,301.0,343.0,9.0,21.0,4.0,6.0
2024-01-22,265.0,320.0,11.0,20.0,4.0,8.0
2024-01-21,272.0,228.0,4.0,20.0,3.0,6.0
2024-01-20,300.0,261.0,11.0,22.0,3.0,9.0
2024-01-19,296.0,275.0,3.0,22.0,3.0,9.0
2024-01-18,298.0,297.0,7.0,24.0,4.0,10.0
2024-01-17,350.0,278.0,10.0,23.0,3.0,6.0
2024-01-16,277.0,347.0,7.0,26.0,3.0,8.0
2024-01-15,395.0,245.0,7.0,24.0,6.0,9.0
2024-01-14,426.0,410.0,8.0,27.0,6.0,12.0
2024-01-13,259.0,484.0,7.0,30.0,4.0,12.0
2024-01-12,274.0,221.0,7.0,22.0,3.0,10.0
2024-01-11,227.0,270.0,7.0,22.0,3.0,9.0
2024-01-10,209.0,205.0,4.0,19.0,2.0,9.0
2024-01-09,326.0,171.0,4.0,21.0,2.0,6.0
2024-01-08,269.0,360.0,4.0,26.0,5.0,9.0
2024-01-07,254.0,230.0,8.0,25.0,3.0,9.0
2024-01-06,251.0,225.0,4.0,23.0,3.0,8.0
2024-01-05,319.0,219.0,1.0,20.0,3.0,8.0
2024-01-04,277.0,309.0,1.0,20.0,6.0,9.0
2024-01-03,257.0,216.0,1.0,30.0,6.0,16.0
2024-01-02,247.0,216.0,5.0,28.0,5.0,10.0
2023-12-31,337.0,291.0,4.0,35.0,3.0,9.0
2023-12-30,402.0,295.0,8.0,36.0,2.0,9.0
2023-12-29,277.0,442.0,10.0,41.0,3.0,11.0
2023-12-28,379.0,216.0,1.0,26.0,2.0,12.0
2023-12-26,322.0,322.0,18.0,73.0,3.0,17.0
2023-12-25,384.0,321.0,17.0,75.0,4.0,19.0
2023-12-24,450.0,398.0,15.0,81.0,7.0,27.0
