,pm2.5,o3,no2,co
2023-10-21,26.0,19.0,10.0,2.0
2023-10-20,33.0,28.0,6.0,2.0
2023-10-19,39.0,31.0,12.0,3.0
2023-10-18,22.0,13.0,17.0,4.0
2023-10-17,13.0,17.0,10.0,3.0
2023-10-16,14.0,18.0,8.0,2.0
2023-10-15,18.0,17.0,3.0,2.0
2023-10-14,18.0,18.0,4.0,2.0
2023-09-27,53.0,17.0,3.0,2.0
2023-09-26,21.0,16.0,4.0,2.0
2023-09-25,9.0,29.0,2.0,1.0
2023-09-24,16.0,30.0,1.0,1.0
2023-09-23,27.0,23.0,1.0,1.0
2023-09-22,28.0,23.0,7.0,1.0
2023-08-31,18.0,30.0,2.0,1.0
2023-08-30,21.0,39.0,6.0,2.0
2023-08-29,32.0,29.0,5.0,2.0
2023-08-28,28.0,26.0,3.0,2.0
2023-08-27,36.0,33.0,4.0,2.0
2023-08-26,29.0,35.0,11.0,3.0
2023-08-25,21.0,26.0,6.0,2.0
2023-08-11,47.0,20.0,10.0,3.0
2023-08-10,44.0,33.0,17.0,3.0
2023-08-09,15.0,36.0,4.0,2.0
2023-08-08,45.0,32.0,5.0,1.0
2023-08-07,60.0,42.0,4.0,2.0
2023-08-06,57.0,41.0,4.0,3.0
2023-08-05,46.0,47.0,4.0,3.0
2023-02-22,40.0,20.0,17.0,2.0
2023-02-21,35.0,26.0,16.0,2.0
2023-02-20,26.0,26.0,27.0,3.0
2023-02-19,26.0,28.0,22.0,2.0
2023-02-18,33.0,26.0,9.0,1.0
2023-02-17,52.0,25.0,16.0,2.0
2023-02-16,32.0,10.0,36.0,5.0
2021-08-25,113.0,60.0,19.0,4.0
2021-08-24,103.0,45.0,15.0,3.0
2021-08-23,109.0,25.0,6.0,2.0
2021-08-22,116.0,22.0,5.0,1.0
2021-08-21,113.0,33.0,7.0,2.0
2021-08-20,116.0,26.0,6.0,1.0
2021-08-19,117.0,25.0,5.0,1.0
2021-05-21,16.0,35.0,13.0,2.0
2021-05-20,43.0,32.0,9.0,1.0
2021-05-06,22.0,29.0,4.0,1.0
2021-05-05,22.0,27.0,9.0,2.0
2021-05-04,32.0,35.0,9.0,2.0
2021-05-03,31.0,24.0,11.0,2.0
2021-05-02,13.0,45.0,6.0,2.0
2021-05-01,12.0,34.0,6.0,1.0
2021-04-30,50.0,33.0,6.0,1.0
2020-07-16,18.0,22.0,3.0,1.0
2020-07-15,12.0,35.0,8.0,1.0
2020-07-14,14.0,30.0,12.0,1.0
2020-07-13,21.0,45.0,10.0,1.0
2020-07-12,35.0,39.0,3.0,1.0
2020-07-11,11.0,29.0,4.0,1.0
2020-07-10,18.0,20.0,6.0,1.0
2020-07-09,22.0,22.0,5.0,1.0
2020-07-08,18.0,27.0,4.0,1.0
2020-07-07,47.0,35.0,8.0,1.0
2020-07-05,60.0,55.0,6.0,2.0
2020-07-04,45.0,34.0,3.0,1.0
2020-07-03,29.0,46.0,8.0,2.0
2020-07-02,29.0,48.0,11.0,2.0
2020-06-30,21.0,34.0,6.0,1.0
2020-06-29,41.0,34.0,8.0,1.0
2020-06-28,49.0,49.0,7.0,2.0
2020-06-18,19.0,10.0,7.0,1.0
2020-06-17,19.0,30.0,10.0,1.0
2020-06-16,22.0,32.0,14.0,1.0
2020-06-15,15.0,31.0,9.0,1.0
2020-06-14,9.0,30.0,3.0,1.0
2020-06-13,15.0,36.0,5.0,1.0
2020-06-12,30.0,46.0,14.0,2.0
