,pm2.5,pm10,o3,no2,so2,co
2024-03-04,1.0,10.0,25.0,18.0,1.0,2.0
2024-03-03,1.0,10.0,36.0,8.0,1.0,2.0
2024-03-02,1.0,4.0,34.0,6.0,1.0,2.0
2024-03-01,16.0,6.0,30.0,15.0,1.0,2.0
2024-02-29,14.0,9.0,29.0,14.0,1.0,3.0
2024-02-28,16.0,4.0,34.0,7.0,1.0,1.0
2024-02-26,29.0,4.0,33.0,6.0,1.0,2.0
2024-02-25,16.0,7.0,27.0,9.0,1.0,2.0
2024-02-24,18.0,5.0,35.0,7.0,1.0,2.0
2024-02-21,43.0,9.0,32.0,9.0,1.0,2.0
2024-02-20,23.0,16.0,28.0,20.0,1.0,3.0
2024-02-19,34.0,8.0,30.0,16.0,1.0,2.0
2024-02-18,31.0,9.0,35.0,14.0,1.0,2.0
2024-02-17,22.0,8.0,32.0,9.0,1.0,2.0
2024-02-16,59.0,5.0,34.0,6.0,1.0,2.0
2024-02-15,70.0,19.0,33.0,30.0,2.0,5.0
2024-02-14,41.0,20.0,13.0,44.0,2.0,4.0
2024-02-13,29.0,11.0,35.0,20.0,1.0,3.0
2024-02-12,21.0,7.0,38.0,7.0,1.0,2.0
2024-02-11,42.0,5.0,37.0,8.0,1.0,2.0
2024-02-10,22.0,10.0,33.0,16.0,1.0,2.0
2024-02-08,46.0,8.0,29.0,20.0,1.0,3.0
2024-02-07,22.0,9.0,19.0,27.0,1.0,3.0
2024-02-04,20.0,8.0,30.0,12.0,1.0,3.0
2024-02-03,26.0,5.0,31.0,10.0,2.0,2.0
2024-02-02,37.0,6.0,32.0,14.0,1.0,3.0
2024-01-31,46.0,15.0,32.0,30.0,2.0,4.0
2024-01-30,22.0,11.0,26.0,23.0,1.0,3.0
2024-01-29,39.0,6.0,29.0,13.0,1.0,2.0
2024-01-28,16.0,10.0,32.0,11.0,1.0,3.0
2024-01-27,14.0,4.0,35.0,6.0,1.0,3.0
2024-01-26,14.0,4.0,32.0,7.0,1.0,2.0
2024-01-25,13.0,3.0,35.0,10.0,1.0,2.0
